,Date,Year,Month,Day,DayOfYear
0,1995-01-01,1995,1,1,1
1,1995-01-02,1995,1,2,2
2,1995-01-03,1995,1,3,3
3,1995-01-04,1995,1,4,4
4,1995-01-05,1995,1,5,5
5,1995-01-06,1995,1,6,6
6,1995-01-07,1995,1,7,7
7,1995-01-08,1995,1,8,8
8,1995-01-09,1995,1,9,9
9,1995-01-10,1995,1,10,10
10,1995-01-11,1995,1,11,11
11,1995-01-12,1995,1,12,12
12,1995-01-13,1995,1,13,13
13,1995-01-14,1995,1,14,14
14,1995-01-15,1995,1,15,15
15,1995-01-16,1995,1,16,16
16,1995-01-17,1995,1,17,17
17,1995-01-18,1995,1,18,18
18,1995-01-19,1995,1,19,19
19,1995-01-20,1995,1,20,20
20,1995-01-21,1995,1,21,21
21,1995-01-22,1995,1,22,22
22,1995-01-23,1995,1,23,23
23,1995-01-24,1995,1,24,24
24,1995-01-25,1995,1,25,25
25,1995-01-26,1995,1,26,26
26,1995-01-27,1995,1,27,27
27,1995-01-28,1995,1,28,28
28,1995-01-29,1995,1,29,29
29,1995-01-30,1995,1,30,30
30,1995-01-31,1995,1,31,31
31,1995-02-01,1995,2,1,32
32,1995-02-02,1995,2,2,33
33,1995-02-03,1995,2,3,34
34,1995-02-04,1995,2,4,35
35,1995-02-05,1995,2,5,36
36,1995-02-06,1995,2,6,37
37,1995-02-07,1995,2,7,38
38,1995-02-08,1995,2,8,39
39,1995-02-09,1995,2,9,40
40,1995-02-10,1995,2,10,41
41,1995-02-11,1995,2,11,42
42,1995-02-12,1995,2,12,43
43,1995-02-13,1995,2,13,44
44,1995-02-14,1995,2,14,45
45,1995-02-15,1995,2,15,46
46,1995-02-16,1995,2,16,47
47,1995-02-17,1995,2,17,48
48,1995-02-18,1995,2,18,49
49,1995-02-19,1995,2,19,50
50,1995-02-20,1995,2,20,51
51,1995-02-21,1995,2,21,52
52,1995-02-22,1995,2,22,53
53,1995-02-23,1995,2,23,54
54,1995-02-24,1995,2,24,55
55,1995-02-25,1995,2,25,56
56,1995-02-26,1995,2,26,57
57,1995-02-27,1995,2,27,58
58,1995-02-28,1995,2,28,59
59,1995-03-01,1995,3,1,60
60,1995-03-02,1995,3,2,61
61,1995-03-03,1995,3,3,62
62,1995-03-04,1995,3,4,63
63,1995-03-05,1995,3,5,64
64,1995-03-06,1995,3,6,65
65,1995-03-07,1995,3,7,66
66,1995-03-08,1995,3,8,67
67,1995-03-09,1995,3,9,68
68,1995-03-10,1995,3,10,69
69,1995-03-11,1995,3,11,70
70,1995-03-12,1995,3,12,71
71,1995-03-13,1995,3,13,72
72,1995-03-14,1995,3,14,73
73,1995-03-15,1995,3,15,74
74,1995-03-16,1995,3,16,75
75,1995-03-17,1995,3,17,76
76,1995-03-18,1995,3,18,77
77,1995-03-19,1995,3,19,78
78,1995-03-20,1995,3,20,79
79,1995-03-21,1995,3,21,80
80,1995-03-22,1995,3,22,81
81,1995-03-23,1995,3,23,82
82,1995-03-24,1995,3,24,83
83,1995-03-25,1995,3,25,84
84,1995-03-26,1995,3,26,85
85,1995-03-27,1995,3,27,86
86,1995-03-28,1995,3,28,87
87,1995-03-29,1995,3,29,88
88,1995-03-30,1995,3,30,89
89,1995-03-31,1995,3,31,90
90,1995-04-01,1995,4,1,91
91,1995-04-02,1995,4,2,92
92,1995-04-03,1995,4,3,93
93,1995-04-04,1995,4,4,94
94,1995-04-05,1995,4,5,95
95,1995-04-06,1995,4,6,96
96,1995-04-07,1995,4,7,97
97,1995-04-08,1995,4,8,98
98,1995-04-09,1995,4,9,99
99,1995-04-10,1995,4,10,100
100,1995-04-11,1995,4,11,101
101,1995-04-12,1995,4,12,102
102,1995-04-13,1995,4,13,103
103,1995-04-14,1995,4,14,104
104,1995-04-15,1995,4,15,105
105,1995-04-16,1995,4,16,106
106,1995-04-17,1995,4,17,107
107,1995-04-18,1995,4,18,108
108,1995-04-19,1995,4,19,109
109,1995-04-20,1995,4,20,110
110,1995-04-21,1995,4,21,111
111,1995-04-22,1995,4,22,112
112,1995-04-23,1995,4,23,113
113,1995-04-24,1995,4,24,114
114,1995-04-25,1995,4,25,115
115,1995-04-26,1995,4,26,116
116,1995-04-27,1995,4,27,117
117,1995-04-28,1995,4,28,118
118,1995-04-29,1995,4,29,119
119,1995-04-30,1995,4,30,120
120,1995-05-01,1995,5,1,121
121,1995-05-02,1995,5,2,122
122,1995-05-03,1995,5,3,123
123,1995-05-04,1995,5,4,124
124,1995-05-05,1995,5,5,125
125,1995-05-06,1995,5,6,126
126,1995-05-07,1995,5,7,127
127,1995-05-08,1995,5,8,128
128,1995-05-09,1995,5,9,129
129,1995-05-10,1995,5,10,130
130,1995-05-11,1995,5,11,131
131,1995-05-12,1995,5,12,132
132,1995-05-13,1995,5,13,133
133,1995-05-14,1995,5,14,134
134,1995-05-15,1995,5,15,135
135,1995-05-16,1995,5,16,136
136,1995-05-17,1995,5,17,137
137,1995-05-18,1995,5,18,138
138,1995-05-19,1995,5,19,139
139,1995-05-20,1995,5,20,140
140,1995-05-21,1995,5,21,141
141,1995-05-22,1995,5,22,142
142,1995-05-23,1995,5,23,143
143,1995-05-24,1995,5,24,144
144,1995-05-25,1995,5,25,145
145,1995-05-26,1995,5,26,146
146,1995-05-27,1995,5,27,147
147,1995-05-28,1995,5,28,148
148,1995-05-29,1995,5,29,149
149,1995-05-30,1995,5,30,150
150,1995-05-31,1995,5,31,151
151,1995-06-01,1995,6,1,152
152,1995-06-02,1995,6,2,153
153,1995-06-03,1995,6,3,154
154,1995-06-04,1995,6,4,155
155,1995-06-05,1995,6,5,156
156,1995-06-06,1995,6,6,157
157,1995-06-07,1995,6,7,158
158,1995-06-08,1995,6,8,159
159,1995-06-09,1995,6,9,160
160,1995-06-10,1995,6,10,161
161,1995-06-11,1995,6,11,162
162,1995-06-12,1995,6,12,163
163,1995-06-13,1995,6,13,164
164,1995-06-14,1995,6,14,165
165,1995-06-15,1995,6,15,166
166,1995-06-16,1995,6,16,167
167,1995-06-17,1995,6,17,168
168,1995-06-18,1995,6,18,169
169,1995-06-19,1995,6,19,170
170,1995-06-20,1995,6,20,171
171,1995-06-21,1995,6,21,172
172,1995-06-22,1995,6,22,173
173,1995-06-23,1995,6,23,174
174,1995-06-24,1995,6,24,175
175,1995-06-25,1995,6,25,176
176,1995-06-26,1995,6,26,177
177,1995-06-27,1995,6,27,178
178,1995-06-28,1995,6,28,179
179,1995-06-29,1995,6,29,180
180,1995-06-30,1995,6,30,181
181,1995-07-01,1995,7,1,182
182,1995-07-02,1995,7,2,183
