,Date,Year,Month,Day,Temp,Israel,Jordan,South Africa,The Netherlands,DayOfYear
0,1995-01-01,1995,1,1,19.33333333333333,0,0,1,0,1
1,1995-01-02,1995,1,2,19.88888888888889,0,0,1,0,2
2,1995-01-03,1995,1,3,19.388888888888893,0,0,1,0,3
3,1995-01-04,1995,1,4,20.83333333333333,0,0,1,0,4
4,1995-01-05,1995,1,5,21.444444444444443,0,0,1,0,5
5,1995-01-06,1995,1,6,20.611111111111107,0,0,1,0,6
6,1995-01-07,1995,1,7,19.0,0,0,1,0,7
7,1995-01-08,1995,1,8,19.33333333333333,0,0,1,0,8
8,1995-01-09,1995,1,9,21.666666666666668,0,0,1,0,9
9,1995-01-10,1995,1,10,23.38888888888889,0,0,1,0,10
10,1995-01-11,1995,1,11,23.277777777777786,0,0,1,0,11
11,1995-01-12,1995,1,12,20.222222222222225,0,0,1,0,12
12,1995-01-13,1995,1,13,21.22222222222222,0,0,1,0,13
13,1995-01-14,1995,1,14,21.888888888888893,0,0,1,0,14
14,1995-01-15,1995,1,15,24.944444444444446,0,0,1,0,15
15,1995-01-16,1995,1,16,22.61111111111111,0,0,1,0,16
16,1995-01-17,1995,1,17,21.83333333333333,0,0,1,0,17
17,1995-01-18,1995,1,18,19.72222222222222,0,0,1,0,18
18,1995-01-19,1995,1,19,21.38888888888889,0,0,1,0,19
19,1995-01-20,1995,1,20,22.444444444444446,0,0,1,0,20
20,1995-01-21,1995,1,21,21.666666666666668,0,0,1,0,21
21,1995-01-22,1995,1,22,20.222222222222225,0,0,1,0,22
22,1995-01-23,1995,1,23,22.88888888888889,0,0,1,0,23
23,1995-01-24,1995,1,24,20.777777777777786,0,0,1,0,24
24,1995-01-25,1995,1,25,19.5,0,0,1,0,25
25,1995-01-26,1995,1,26,19.83333333333333,0,0,1,0,26
26,1995-01-27,1995,1,27,19.77777777777777,0,0,1,0,27
27,1995-01-28,1995,1,28,18.77777777777778,0,0,1,0,28
28,1995-01-29,1995,1,29,18.833333333333336,0,0,1,0,29
29,1995-01-30,1995,1,30,19.33333333333333,0,0,1,0,30
30,1995-01-31,1995,1,31,19.444444444444443,0,0,1,0,31
31,1995-02-01,1995,2,1,18.833333333333336,0,0,1,0,32
32,1995-02-02,1995,2,2,21.11111111111111,0,0,1,0,33
33,1995-02-03,1995,2,3,21.666666666666668,0,0,1,0,34
34,1995-02-04,1995,2,4,24.444444444444443,0,0,1,0,35
35,1995-02-05,1995,2,5,23.88888888888889,0,0,1,0,36
36,1995-02-06,1995,2,6,21.77777777777778,0,0,1,0,37
37,1995-02-07,1995,2,7,21.0,0,0,1,0,38
38,1995-02-08,1995,2,8,21.444444444444443,0,0,1,0,39
39,1995-02-09,1995,2,9,23.833333333333336,0,0,1,0,40
40,1995-02-10,1995,2,10,21.666666666666668,0,0,1,0,41
41,1995-02-11,1995,2,11,20.222222222222225,0,0,1,0,42
42,1995-02-12,1995,2,12,21.444444444444443,0,0,1,0,43
43,1995-02-13,1995,2,13,20.33333333333333,0,0,1,0,44
