,Date,Year,Month,Day,Country_Israel,DayOfYear
18532,1995-01-01,1995,1,1,1,1
18533,1995-01-02,1995,1,2,1,2
18534,1995-01-03,1995,1,3,1,3
18535,1995-01-04,1995,1,4,1,4
18536,1995-01-05,1995,1,5,1,5
18537,1995-01-06,1995,1,6,1,6
18538,1995-01-07,1995,1,7,1,7
18539,1995-01-08,1995,1,8,1,8
18540,1995-01-09,1995,1,9,1,9
18541,1995-01-10,1995,1,10,1,10
18542,1995-01-11,1995,1,11,1,11
18543,1995-01-12,1995,1,12,1,12
18544,1995-01-13,1995,1,13,1,13
18545,1995-01-14,1995,1,14,1,14
18546,1995-01-15,1995,1,15,1,15
18547,1995-01-16,1995,1,16,1,16
18548,1995-01-17,1995,1,17,1,17
18549,1995-01-18,1995,1,18,1,18
18550,1995-01-19,1995,1,19,1,19
18551,1995-01-20,1995,1,20,1,20
18552,1995-01-21,1995,1,21,1,21
18553,1995-01-22,1995,1,22,1,22
18554,1995-01-23,1995,1,23,1,23
18555,1995-01-24,1995,1,24,1,24
18556,1995-01-25,1995,1,25,1,25
18557,1995-01-26,1995,1,26,1,26
18558,1995-01-27,1995,1,27,1,27
18559,1995-01-28,1995,1,28,1,28
18560,1995-01-29,1995,1,29,1,29
18561,1995-01-30,1995,1,30,1,30
18562,1995-01-31,1995,1,31,1,31
18563,1995-02-01,1995,2,1,1,32
18564,1995-02-02,1995,2,2,1,33
18565,1995-02-03,1995,2,3,1,34
18566,1995-02-04,1995,2,4,1,35
18567,1995-02-05,1995,2,5,1,36
18568,1995-02-06,1995,2,6,1,37
18569,1995-02-07,1995,2,7,1,38
18570,1995-02-08,1995,2,8,1,39
18571,1995-02-09,1995,2,9,1,40
18572,1995-02-10,1995,2,10,1,41
18573,1995-02-11,1995,2,11,1,42
18574,1995-02-12,1995,2,12,1,43
18575,1995-02-13,1995,2,13,1,44
18576,1995-02-14,1995,2,14,1,45
18577,1995-02-15,1995,2,15,1,46
18578,1995-02-16,1995,2,16,1,47
18579,1995-02-17,1995,2,17,1,48
18580,1995-02-18,1995,2,18,1,49
18581,1995-02-19,1995,2,19,1,50
18582,1995-02-20,1995,2,20,1,51
18583,1995-02-21,1995,2,21,1,52
18584,1995-02-22,1995,2,22,1,53
18585,1995-02-23,1995,2,23,1,54
18586,1995-02-24,1995,2,24,1,55
18587,1995-02-25,1995,2,25,1,56
18588,1995-02-26,1995,2,26,1,57
18589,1995-02-27,1995,2,27,1,58
18590,1995-02-28,1995,2,28,1,59
18591,1995-03-01,1995,3,1,1,60
18592,1995-03-02,1995,3,2,1,61
18593,1995-03-03,1995,3,3,1,62
18594,1995-03-04,1995,3,4,1,63
18595,1995-03-05,1995,3,5,1,64
18596,1995-03-06,1995,3,6,1,65
18597,1995-03-07,1995,3,7,1,66
18598,1995-03-08,1995,3,8,1,67
18599,1995-03-09,1995,3,9,1,68
